index,data,is_discord
0,5,N
1,5,N
2,5,N
3,5,N
4,5,N
5,5,N
6,5,N
7,5,N
8,4.99,N
9,5,N
10,5,N
11,5,N
12,5.03,N
13,5.04,N
14,5.02,N
15,4.95,N
16,4.9,N
17,4.87,N
18,4.84,N
19,4.83,N
20,4.78,N
21,4.73,N
22,4.71,N
23,4.72,N
24,4.74,N
25,4.75,N
26,4.73,N
27,4.71,N
28,4.7,N
29,4.7,N
30,4.72,N
31,4.75,N
32,4.75,N
33,4.73,N
34,4.71,N
35,4.72,N
36,4.73,N
37,4.75,N
38,4.73,N
39,4.73,N
40,4.73,N
41,4.73,N
42,4.74,N
43,4.74,N
44,4.74,N
45,4.72,N
46,4.72,N
47,4.72,N
48,4.72,N
49,4.71,N
50,4.69,N
51,4.7,N
52,4.7,N
53,4.73,N
54,4.75,N
55,4.76,N
56,4.75,N
57,4.76,N
58,4.74,N
59,4.72,N
60,4.72,N
61,4.73,N
62,4.76,N
63,4.79,N
64,4.8,N
65,4.83,N
66,4.85,N
67,4.84,N
68,4.78,N
69,4.68,N
70,4.61,N
71,4.6,N
72,4.61,N
73,4.61,N
74,4.59,N
75,4.58,N
76,4.54,N
77,4.5,N
78,4.48,N
79,4.47,N
80,4.44,N
81,4.39,N
82,4.34,N
83,4.29,N
84,4.24,N
85,4.21,N
86,4.18,N
87,4.15,N
88,4.14,N
89,4.18,N
90,4.21,N
91,4.23,N
92,4.23,N
93,4.29,N
94,4.36,N
95,4.42,N
96,4.5,N
97,4.54,N
98,4.58,N
99,4.62,N
100,4.64,N
101,4.68,N
102,4.73,N
103,4.75,N
104,4.75,N
105,4.76,N
106,4.76,N
107,4.77,N
108,4.8,N
109,4.81,N
110,4.8,N
111,4.78,N
112,4.78,N
113,4.79,N
114,4.82,N
115,4.84,N
116,4.82,N
117,4.83,N
118,4.83,N
119,4.82,N
120,4.83,N
121,4.84,N
122,4.84,N
123,4.8,N
124,4.8,N
125,4.81,N
126,4.83,N
127,4.84,N
128,4.85,N
129,4.84,N
130,4.83,N
131,4.83,N
132,4.84,N
133,4.84,N
134,4.83,N
135,4.84,N
136,4.85,N
137,4.84,N
138,4.85,N
139,4.86,N
140,4.85,N
141,4.85,N
142,4.85,N
143,4.86,N
144,4.88,N
145,4.9,N
146,4.88,N
147,4.86,N
148,4.84,N
149,4.85,N
150,4.88,N
151,4.9,N
152,4.9,N
153,4.9,N
154,4.88,N
155,4.9,N
156,4.92,N
157,4.93,N
158,4.94,N
159,4.9,N
160,4.88,N
161,4.9,N
162,4.93,N
163,4.94,N
164,4.96,N
165,4.94,N
166,4.93,N
167,4.94,N
168,4.94,N
169,4.96,N
170,4.95,N
171,4.97,N
172,4.96,N
173,4.95,N
174,4.95,N
175,4.98,N
176,4.95,N
177,4.96,N
178,4.96,N
179,4.96,N
180,4.96,N
181,4.97,N
182,4.96,N
183,4.95,N
184,4.93,N
185,4.93,N
186,4.93,N
187,4.94,N
188,4.94,N
189,4.92,N
190,4.92,N
191,4.92,N
192,4.92,N
193,4.93,N
194,4.93,N
195,4.92,N
196,4.89,N
197,4.9,N
198,4.91,N
199,4.91,N
200,4.92,N
201,4.91,N
202,4.89,N
203,4.86,N
204,4.87,N
205,4.87,N
206,4.88,N
207,4.88,N
208,4.87,N
209,4.86,N
210,4.85,N
211,4.87,N
212,4.86,N
213,4.86,N
214,4.85,N
215,4.84,N
216,4.86,N
217,4.87,N
218,4.86,N
219,4.85,N
220,4.85,N
221,4.85,N
222,4.87,N
223,4.87,N
224,4.86,N
225,4.85,N
226,4.85,N
